Location,District,District_PriceCode,Area,Area_PriceCode,Land Area,Bedrooms,Floor,Facing,Facing_PriceCode,Road Access,Price
"'Imadol, L'",L,34535434.84,Imadol,26245555.56,3.0,8,2.5,S,38378801.08,13,17000000
"'Imadol, L'",L,34535434.84,Imadol,26245555.56,3.0,10,3.0,S,38378801.08,13,22000000
"'Tarakeshwar, K'",K,40271779.3,Tarakeshwar,20000000.0,4.0,2,1.0,NE,38939095.74,13,11500000
"'Imadol, L'",L,34535434.84,Imadol,26245555.56,3.5,4,3.0,S,38378801.08,13,19700000
"'Baniyatar, K'",K,40271779.3,Baniyatar,29888888.89,4.0,6,3.0,E,40021095.89,20,29000000
"'Mandikhatar, K'",K,40271779.3,Mandikhatar,45133333.33,55.0,6,2.0,E,40021095.89,15,290000000
"'Hattigauda, K'",K,40271779.3,Hattigauda,40888888.89,5.5,6,3.0,E,40021095.89,13,45000000
"'Golfutar, K'",K,40271779.3,Golfutar,47734782.61,7.0,4,3.0,W,35035732.01,30,36000000
"'Hattigauda, K'",K,40271779.3,Hattigauda,40888888.89,5.5,5,3.0,NW,36240206.19,13,35500000
"'Bharyang, K'",K,40271779.3,Bharyang,74412500.0,2.75,3,3.0,SW,39995597.48,13,24100000
"'Budhanilkantha, K'",K,40271779.3,Budhanilkantha,54403539.82,7.5,5,3.0,E,40021095.89,20,40000000
"'Ason, K'",K,40271779.3,Ason,93750000.0,2.0,5,7.0,W,35035732.01,26,17500000
"'Thaiba, L'",L,34535434.84,Thaiba,30846153.85,3.0,3,3.0,S,38378801.08,20,20000000
"'Imadol, L'",L,34535434.84,Imadol,26245555.56,3.1,5,3.0,W,35035732.01,13,18000000
"'Gongabu, K'",K,40271779.3,Gongabu,42027777.78,3.2,4,2.5,N,36524064.17,13,26000000
"'Dhapasi, K'",K,40271779.3,Dhapasi,43197058.82,3.5,5,3.0,E,40021095.89,13,25500000
"'Chapali, K'",K,40271779.3,Chapali,41350000.0,3.5,5,3.0,E,40021095.89,15,68000000
"'Bhangal, K'",K,40271779.3,Bhangal,26641463.41,12.0,6,3.0,NE,38939095.74,20,21500000
"'Mandikhatar, K'",K,40271779.3,Mandikhatar,45133333.33,3.0,6,3.0,W,35035732.01,13,18200000
"'Pasikot, K'",K,40271779.3,Pasikot,37148571.43,21.0,4,3.0,E,40021095.89,14,80000000
"'Bhangal, K'",K,40271779.3,Bhangal,26641463.41,3.1,6,3.0,SW,39995597.48,12,19900000
"'Dhapasi, K'",K,40271779.3,Dhapasi,43197058.82,17.0,5,3.0,SW,39995597.48,15,72000000
"'Baluwatar, K'",K,40271779.3,Baluwatar,77346153.85,6.0,5,3.0,NE,38939095.74,13,60000000
"'Budhanilkantha, K'",K,40271779.3,Budhanilkantha,54403539.82,12.0,6,3.0,NW,36240206.19,15,57500000
"'Dhapasi, K'",K,40271779.3,Dhapasi,43197058.82,14.0,5,3.0,SE,41320000.0,20,66000000
"'Ekatabasti, K'",K,40271779.3,Ekatabasti,28400000.0,4.0,7,3.0,SW,39995597.48,13,29900000
"'Ekatabasti, K'",K,40271779.3,Ekatabasti,28400000.0,5.0,7,3.0,SE,41320000.0,13,29900000
"'Dhapasi, K'",K,40271779.3,Dhapasi,43197058.82,5.0,4,3.0,NE,38939095.74,20,33500000
"'Balkhu, K'",K,40271779.3,Balkhu,38742857.14,4.5,3,3.0,E,40021095.89,20,23000000
"'Swayambhu, K'",K,40271779.3,Swayambhu,34017647.06,3.1,5,3.0,NE,38939095.74,13,20600000
"'Manohara, K'",K,40271779.3,Manohara,26000000.0,4.0,5,3.0,W,35035732.01,26,26000000
"'Budhanilkantha, K'",K,40271779.3,Budhanilkantha,54403539.82,4.9,6,3.0,E,40021095.89,20,400000000
"'Budhanilkantha, K'",K,40271779.3,Budhanilkantha,54403539.82,7.0,4,3.0,SE,41320000.0,15,45000000
"'Guheshwori, K'",K,40271779.3,Guheshwori,28500000.0,4.0,8,3.0,NE,38939095.74,16,28500000
"'Imadol, L'",L,34535434.84,Imadol,26245555.56,2.3,2,1.0,E,40021095.89,13,11000000
"'Imadol, L'",L,34535434.84,Imadol,26245555.56,3.1,4,3.0,E,40021095.89,20,19200000
"'Ekatabasti, K'",K,40271779.3,Ekatabasti,28400000.0,5.5,5,3.0,E,40021095.89,13,36000000
"'Sitapaila, K'",K,40271779.3,Sitapaila,32122471.91,3.1,4,3.0,N,36524064.17,13,18000000
"'Budhanilkantha, K'",K,40271779.3,Budhanilkantha,54403539.82,13.0,5,3.0,E,40021095.89,15,72000000
"'Tokha, K'",K,40271779.3,Tokha,26794117.65,4.0,6,3.0,E,40021095.89,13,23000000
"'Mandikhatar, K'",K,40271779.3,Mandikhatar,45133333.33,3.14,6,3.0,SE,41320000.0,13,19900000
"'Samakhusi, K'",K,40271779.3,Samakhusi,44224137.93,4.0,7,4.0,E,40021095.89,14,40000000
"'Bhangal, K'",K,40271779.3,Bhangal,26641463.41,3.5,5,3.0,S,38378801.08,13,21500000
"'Basundhara, K'",K,40271779.3,Basundhara,40705882.35,16.0,4,2.0,W,35035732.01,14,70000000
"'Budhanilkantha, K'",K,40271779.3,Budhanilkantha,54403539.82,15.0,5,3.0,S,38378801.08,14,65000000
"'Dhumbarahi, K'",K,40271779.3,Dhumbarahi,59708333.33,8.0,7,3.0,E,40021095.89,13,62000000
"'Budhanilkantha, K'",K,40271779.3,Budhanilkantha,54403539.82,14.0,4,2.0,E,40021095.89,15,67500000
"'Budhanilkantha, K'",K,40271779.3,Budhanilkantha,54403539.82,5.5,4,2.0,E,40021095.89,15,32500000
"'Golfutar, K'",K,40271779.3,Golfutar,47734782.61,7.0,4,2.0,E,40021095.89,15,35000000
"'Budhanilkantha, K'",K,40271779.3,Budhanilkantha,54403539.82,4.2,4,2.0,E,40021095.89,14,31000000
"'Sukedhara, K'",K,40271779.3,Sukedhara,38941379.31,3.3,4,2.0,E,40021095.89,18,32500000
"'Mandikhatar, K'",K,40271779.3,Mandikhatar,45133333.33,3.1,4,3.0,E,40021095.89,15,20000000
"'Golfutar, K'",K,40271779.3,Golfutar,47734782.61,4.0,4,3.0,E,40021095.89,30,32500000
"'Budhanilkantha, K'",K,40271779.3,Budhanilkantha,54403539.82,5.0,10,3.0,N,36524064.17,15,22000000
"'Budhanilkantha, K'",K,40271779.3,Budhanilkantha,54403539.82,6.0,4,3.0,E,40021095.89,33,35000000
"'Banasthali, K'",K,40271779.3,Banasthali,47525000.0,5.0,7,4.0,S,38378801.08,16,37000000
"'Imadol, L'",L,34535434.84,Imadol,26245555.56,3.0,2,2.0,W,35035732.01,5,6500000
"'Ekatabasti, K'",K,40271779.3,Ekatabasti,28400000.0,4.5,7,3.0,E,40021095.89,13,27500000
"'Golfutar, K'",K,40271779.3,Golfutar,47734782.61,3.0,6,3.0,E,40021095.89,13,18000000
"'Kusunti, L'",L,34535434.84,Kusunti,47312500.0,5.2,4,3.0,NW,36240206.19,13,38500000
"'Mulpani, K'",K,40271779.3,Mulpani,20590909.09,4.0,4,4.0,E,40021095.89,22,35000000
"'Pepsicola, K'",K,40271779.3,Pepsicola,37138888.89,2.5,4,3.0,SE,41320000.0,13,13500000
"'Kapan, K'",K,40271779.3,Kapan,24537096.77,2.05,6,3.0,E,40021095.89,12,32500000
"'Satdobato, L'",L,34535434.84,Satdobato,41446666.67,10.0,3,2.0,E,40021095.89,20,70000000
"'Shantinagar, K'",K,40271779.3,Shantinagar,46114285.71,9.2,4,3.0,E,40021095.89,20,70000000
"'Imadol, L'",L,34535434.84,Imadol,26245555.56,2.3,3,3.0,NE,38939095.74,10,13500000
"'Imadol, L'",L,34535434.84,Imadol,26245555.56,3.0,2,1.0,NE,38939095.74,12,12000000
"'Mandikhatar, K'",K,40271779.3,Mandikhatar,45133333.33,5.0,6,3.0,E,40021095.89,13,27800000
"'Ghattekulo, K'",K,40271779.3,Ghattekulo,66250000.0,13.2,8,4.0,S,38378801.08,13,100000000
"'Budhanilkantha, K'",K,40271779.3,Budhanilkantha,54403539.82,15.0,5,3.0,SE,41320000.0,13,65000000
"'Golfutar, K'",K,40271779.3,Golfutar,47734782.61,10.0,6,3.0,E,40021095.89,20,56000000
"'Budhanilkantha, K'",K,40271779.3,Budhanilkantha,54403539.82,8.1,6,3.0,SE,41320000.0,15,44500000
"'Banasthali, K'",K,40271779.3,Banasthali,47525000.0,3.0,8,3.0,S,38378801.08,10,19000000
"'Kadaghari, K'",K,40271779.3,Kadaghari,18933333.33,2.2,3,1.0,N,36524064.17,4,7500000
"'Imadol, L'",L,34535434.84,Imadol,26245555.56,3.3,7,3.0,S,38378801.08,13,22500000
"'Baneshwor, K'",K,40271779.3,Baneshwor,51242857.14,7.0,7,2.0,SE,41320000.0,10,50000000
"'Balaju, K'",K,40271779.3,Balaju,93340000.0,3.0,7,4.0,N,36524064.17,13,25000000
"'Kaushaltar, B'",B,29873684.19,Kaushaltar,24300000.0,7.2,5,3.0,E,40021095.89,15,30000000
"'Bansbari, K'",K,40271779.3,Bansbari,52578947.37,5.0,2,3.0,S,38378801.08,13,28000000
"'Bhangal, K'",K,40271779.3,Bhangal,26641463.41,3.5,5,3.0,E,40021095.89,13,21500000
"'Budhanilkantha, K'",K,40271779.3,Budhanilkantha,54403539.82,5.0,7,3.0,E,40021095.89,20,25500000
"'Dhumbarahi, K'",K,40271779.3,Dhumbarahi,59708333.33,12.0,5,2.0,E,40021095.89,14,70000000
"'Banasthali, K'",K,40271779.3,Banasthali,47525000.0,5.3,5,3.0,N,36524064.17,20,39500000
"'Chabahil, K'",K,40271779.3,Chabahil,83909090.91,5.1,2,1.0,S,38378801.08,12,18000000
"'Sitapaila, K'",K,40271779.3,Sitapaila,32122471.91,3.0,3,3.0,E,40021095.89,14,22000000
"'Maharajgunj, K'",K,40271779.3,Maharajgunj,66125000.0,6.5,5,2.0,E,40021095.89,15,62500000
"'Dhapasi, K'",K,40271779.3,Dhapasi,43197058.82,8.0,6,3.0,SW,39995597.48,20,45000000
"'Budhanilkantha, K'",K,40271779.3,Budhanilkantha,54403539.82,11.0,6,2.0,N,36524064.17,20,130000000
"'Baneshwor, K'",K,40271779.3,Baneshwor,51242857.14,12.0,4,2.0,SE,41320000.0,20,120000000
"'Kapan, K'",K,40271779.3,Kapan,24537096.77,5.0,6,3.0,E,40021095.89,14,22000000
"'Tikathali, L'",L,34535434.84,Tikathali,21964285.71,4.0,3,2.0,W,35035732.01,13,17000000
"'Budhanilkantha, K'",K,40271779.3,Budhanilkantha,54403539.82,4.0,10,4.0,S,38378801.08,30,30000000
"'Thaiba, L'",L,34535434.84,Thaiba,30846153.85,4.0,4,3.0,E,40021095.89,13,19000000
"'Tarakeshwar, K'",K,40271779.3,Tarakeshwar,20000000.0,2.2,1,1.0,NW,36240206.19,10,12000000
"'Harisiddhi, L'",L,34535434.84,Harisiddhi,24777777.78,3.0,8,3.0,N,36524064.17,20,15500000
"'Samakhusi, K'",K,40271779.3,Samakhusi,44224137.93,4.0,5,3.0,E,40021095.89,15,44000000
"'Budhanilkantha, K'",K,40271779.3,Budhanilkantha,54403539.82,20.0,6,3.0,NW,36240206.19,20,100000000
"'Budhanilkantha, K'",K,40271779.3,Budhanilkantha,54403539.82,18.0,5,3.0,SE,41320000.0,20,96000000
