Location,Land Area,Beadrooms,Floor,Facing,Road Acess,Price
"'Mandikatar, K'",4,1,2.5,NW,13,38000000
"'Lubhu, L'",2.5,4,2.5,N,10,25500000
"'Gothatar, K'",3.1,5,2.5,E,13,30000000
"'Hiledol, K'",2.3,5,2.5,N,12,16000000
"'Imadol, L'",3.5,5,2.5,E,13,36500000
"'Tikathali, L'",3,4,2.5,W,14,23500000
"'Dhalmal, K'",3.3,4,2.5,N,11,26000000
"'Shirj, K'",4,6,2.5,S,16,39500000
"'Imadol, L'",4,6,2.5,NE,13,44500000
"'Tikathali, L'",3,4,2.5,W,13,24000000
"'Imadol, L'",4.5,5,2.5,E,13,40000000
"'Lubhu, L'",6.2,5,2.5,NW,13,28000000
"'Sitapakha, L'",3.5,4,2.5,W,20,27500000
"'Gongabu, K'",5.2,6,2.5,S,13,52500000
"'Sallaghari, B'",3,2,2.5,S,13,16500000
"'Tokha, K'",3.5,6,2.5,S,13,27500000
"'Bhangal, K'",5.5,5,2.5,SE,20,50000000
"'Budhanilkantha, K'",7,3,2.5,S,13,48000000
"'Budhanilkantha, K'",4.5,4,2.5,SE,13,42500000
"'Budhanilkantha, K'",4.2,3,2.5,E,13,39500000
"'Balambu, K'",4.5,5,2.5,NE,13,21000000
"'Pasikot, K'",5,6,2.5,W,15,45000000
"'Thankot, K'",3.5,6,2.5,NE,12,22000000
"'Sanagaun, L'",2.3,5,2.5,E,13,16000000
"'Khumaltar, L'",3.1,5,2.5,E,13,30000000
"'Harisiddhi, L'",4.5,3,2.5,W,26,29000000
"'Imadol, L'",4,5,2.5,SE,13,40000000
"'Lubhu, L'",2.5,5,2.5,N,13,15500000
"'Pepsicola, K'",3.1,6,2.5,E,20,25000000
"'Hattiban, L'",4.5,4,2.5,W,20,36000000
"'Sallaghari, B'",4,6,2.5,NE,20,28500000
"'Lubhu, L'",2.5,4,2.5,E,13,17000000
"'Tikathali, L'",3,5,2.5,E,13,31500000
"'Budhani, K'",7,5,2.5,S,14,50000000
"'Boudha, K'",1,2,2.5,E,8,7500000
"'Thulobharyang, K'",4,6,2.5,NE,13,36500000
"'Imadol, L'",3.3,7,2.5,E,13,42500000
"'Tikathali, L'",3,7,2.5,S,20,26500000
"'Hattigauda, K'",4.5,6,2.5,N,13,31000000
"'Budhanilkantha, K'",4.2,5,2.5,NE,20,43000000
"'Budhanilkantha, K'",6,6,2.5,N,16,50000000
"'Pasikot, K'",4.1,6,2.5,E,13,45000000
"'Kalanki, K'",8,7,2.5,NE,13,60000000
"'Lasuntar, K'",5,6,2.5,SE,13,43500000
"'Kapan, K'",3,6,2.5,W,13,22000000
"'Dhalahiti, L'",4.25,6,2.5,S,14,42500000
"'Gothatar, K'",3.1,6,2.5,W,20,27500000
"'Dholahiti, L'",5,5,2.5,E,13,48500000
"'Kapan, K'",3.2,6,2.5,W,13,32500000
"'Kalanki, K'",5,5,2.5,E,13,65000000
"'Ganesh chowk, K'",4,6,2.5,W,13,38000000
"'Chapali, K'",4.1,7,2.5,NE,13,41500000
"'Chunikhel, K'",4.2,6,2.5,NW,13,38500000
"'Kapan, K'",3.1,6,2.5,SE,13,30000000
"'Budhanilkantha, K'",3.1,6,2.5,W,13,32500000
"'Goldhunga, K'",3.2,5,2.5,E,13,22000000
"'Bhaisepati, L'",4,4,2.5,N,13,36500000
"'Thulobharyang, K'",3,6,2.5,NE,13,36500000
"'Narayanthan, K'",10.3,4,2.5,E,20,80000000
