Location,District,District_PriceCode,Area,Area_PriceCode,Land Area,Bedrooms,Facing,Facing_PriceCode,Road Access,Price
"'Dhumbarahi, K'",K,36682079.16,Dhumbarahi,37882549.48,3,3,E,36403707.15,13,24500000
"'Tej Binayak, K'",K,36682079.16,Tej Binayak,32832368.59,3,4,E,36403707.15,13,14500000
"'Tokha, K'",K,36682079.16,Tokha,32918811.87,4,2,W,34071065.83,13,19500000
"'Tikathali, L'",L,33467802.12,Tikathali,29599710.81,5,5,W,34071065.83,20,45000000
"'Golfutar, K'",K,36682079.16,Golfutar,39130056.55,4.5,4,S,32636997.24,16,9500000
"'Bhaisepati, L'",L,33467802.12,Bhaisepati,41013560.42,5.1,4,N,32763770.05,13,45000000
"'Kusunti, L'",L,33467802.12,Kusunti,35398309.33,3.5,4,N,32763770.05,13,32500000
"'Imadol, L'",L,33467802.12,Imadol,34591056.73,3.3,7,E,36403707.15,13,29500000
"'Tikathali, L'",L,33467802.12,Tikathali,29599710.81,3,6,S,32636997.24,13,25500000
"'Tikathali, L'",L,33467802.12,Tikathali,29599710.81,3,6,N,32763770.05,13,24500000
"'Tikathali, L'",L,33467802.12,Tikathali,29599710.81,3,4,N,32763770.05,13,23500000
"'Imadol, L'",L,33467802.12,Imadol,34591056.73,5,6,W,34071065.83,12,39500000
"'Badikhel, L'",L,33467802.12,Badikhel,31607092.84,6,4,S,32636997.24,13,13000000
"'Tikathali, L'",L,33467802.12,Tikathali,29599710.81,3.1,5,E,36403707.15,13,28500000
"'Setipakha, L'",L,33467802.12,Setipakha,32044463.17,3.5,5,W,34071065.83,13,27500000
"'Imadol, L'",L,33467802.12,Imadol,34591056.73,3.3,5,E,36403707.15,13,28500000
"'Tikathali, L'",L,33467802.12,Tikathali,29599710.81,4.1,6,W,34071065.83,13,37500000
"'Tikathali, L'",L,33467802.12,Tikathali,29599710.81,4,6,E,36403707.15,20,35000000
"'Imadol, L'",L,33467802.12,Imadol,34591056.73,4.5,6,S,32636997.24,13,47000000
