Location,District,District_PriceCode,Area,Area_PriceCode,Land Area,Bedrooms,Floor,Facing,Facing_PriceCode,Road Access,Price
"'Tikathali, L'",L,33117499.99,Tikathali,28607792.21,3.0,5,2.0,N,32362162.15,13,25500000
"'Imadol, L'",L,33117499.99,Imadol,34421111.1,3.0,6,2.0,S,31992462.31,13,23000000
"'Imadol, L'",L,33117499.99,Imadol,34421111.1,3.3,6,2.0,S,31992462.31,13,37000000
"'Bhaisepati, L'",L,33117499.99,Bhaisepati,42372340.43,4.5,4,2.0,NW,33140350.88,13,32500000
"'Chunikhel, K'",K,37338387.72,Chunikhel,34472727.27,3.1,5,2.0,SW,32763333.33,13,31500000
"'Dhaneshwor, K'",K,37338387.72,Dhaneshwor,27500000.0,5.0,3,2.0,E,36431958.76,12,28000000
"'Wasik, K'",K,37338387.72,Wasik,43500000.0,4.2,5,2.0,NE,34112500.0,20,43500000
"'Gongabu, K'",K,37338387.72,Gongabu,37571428.57,5.0,4,2.0,W,35438823.53,10,37500000
"'Tikathali, L'",L,33117499.99,Tikathali,28607792.21,3.3,5,2.0,N,32362162.15,20,29500000
"'Bhaisepati, L'",L,33117499.99,Bhaisepati,42372340.43,6.0,4,2.0,E,36431958.76,13,57500000
"'Budhgar, K'",K,37338387.72,Budhgar,70000000.0,3.51,7,2.0,E,36431958.76,16,70000000
"'Bhangal, K'",K,37338387.72,Bhangal,36653846.15,3.5,3,2.0,S,31992462.31,10,30000000
"'Hattiban, L'",L,33117499.99,Hattiban,29954545.45,3.0,3,2.0,SE,38727272.73,13,20000000
"'Maharajgunj, K'",K,37338387.72,Maharajgunj,72000000.0,4.0,5,2.0,E,36431958.76,13,90000000
"'Dhapakhel, L'",L,33117499.99,Dhapakhel,36807692.31,6.5,4,2.0,E,36431958.76,16,32000000
"'Budhanilkantha, K'",K,37338387.72,Budhanilkantha,42703703.7,4.2,3,2.0,W,35438823.53,13,38500000
"'Godawari, L'",L,33117499.99,Godawari,25062500.0,3.0,2,2.0,E,36431958.76,20,17000000
