Location,Land Area,Bedrooms,Floor,Facing,Road Access,Price
"Mandikhatar, K'",3.2,5,2.5,E,13,22200000.000000004
"Machhapokhari, K'",6.3,14,5.5,SE,20,48500000.0
"Dallu, K'",3.2,6,4.5,E,20,45000000.0
"Budhanilkantha, K'",5.0,4,2.5,S,13,48000000.0
"Dhumbarahi, K'",6.1,7,4.5,SE,36,69000000.0
"Koteshwor, K'",4.0,6,4.5,E,26,45000000.0
"Bhaisepati, L'",5.2,5,2.5,NE,18,38000000.0
"Budhanilkantha, K'",8.2,4,2.5,NE,13,55000000.0
"Bhaisepati, L'",3.0,6,2.5,NW,20,36000000.0
"Anamnagar, K'",3.3,6,3.5,SW,11,42500000.0
"Phutung, K'",4.2,5,3.0,W,18,26000000.0
"Bhaisepati, L'",3.2,6,2.5,SE,20,29500000.0
"Narayanthan, K'",7.0,6,2.5,N,18,65000000.0
"Aakasedhara, K'",5.0,5,2.5,SE,20,45000000.0
"Gokarneswhor, K'",3.1,2,1.0,E,12,13000000.0
"Kapan, K'",2.2,4,2.5,N,12,15500000.0
"Baluwakhani, K'",5.0,7,3.0,W,13,38000000.0
"Bhangal, K'",4.0,4,2.5,N,13,29000000.0
"Mandikhatar, K'",3.2,4,2.5,E,32,27500000.0
"Chhaling, B'",4.0,2,1.0,N,16,9500000.0
"Sunakothi, L'",4.2,3,1.5,SW,8,12500000.0
"Panga, K'",5.2,14,3.5,S,12,35000000.0
"Thankot, K'",3.3,5,2.5,S,13,16000000.0
"Jyotinagar, K'",3.2,7,2.5,S,13,22500000.0
"Machhe Gaun, K'",3.1,7,2.5,E,13,10500000.0
"Sundarbasti, K'",4.0,6,2.5,E,18,27500000.0
"Thulo Bharayang, K'",3.1,4,2.5,W,14,25000000.0
"Chyasal, L'",3.0,7,3.0,W,13,22500000.0
"Kavresthali, K'",3.1,5,2.5,N,13,18500000.0
"Imadol, L'",3.1,5,2.5,S,16,22500000.0
"Budhanilkantha, K'",4.0,6,2.5,SE,14,32500000.0
"Naya Basti, K'",3.3,5,3.5,E,12,25000000.0
"Kalanki, K'",6.3,8,3.5,S,20,45000000.0
"Bhaisepati, L'",3.2,4,2.5,SW,20,26500000.0
"Kapan, K'",3.3,6,2.5,W,12,24000000.0
"Bhaisepati, L'",4.0,6,2.5,NW,16,37000000.0
"Balkot, B'",6.0,4,3.5,S,10,42500000.0
