Location,Land Area,Bedrooms,Road Access,Land Area x Road Access,Facing,Price
"""Budhanilkantha, K""",5,7,20,100,E,25500000
"""Banasthali, K""",5.3,5,20,106,N,39500000
"""Chabahil, K""",5.1,2,12,61.2,S,18000000
"""Sitapaila, K""",3,3,14,42,E,22000000
"""Maharajgunj, K""",6.5,5,15,97.5,E,62500000
"""Dhapasi, K""",8,6,20,160,SW,45000000
"""Kapan, K""",5,6,14,70,E,22000000
"""Tikathali, L""",4,3,13,52,W,17000000
"""Budhanilkantha, K""",4,10,30,120,S,30000000
"""Thaiba, L""",4,4,13,52,E,19000000
"""Tarakeshwar, K""",2.2,1,10,22,NW,12000000
"""Harisiddhi, L""",3,8,20,60,N,15500000
"""Samakhusi, K""",4,5,15,60,E,44000000
"""Bhangal, K""",4.5,6,20,90,E,28500000
"""Samakhusi, K""",5,11,13,65,N,30000000
"""Maharajgunj, K""",6.5,5,15,97.5,E,65000000
"""Dhapasi, K""",6.2,6,32,198.4,W,35000000
"""Anamnagar, K""",5,5,12,60,E,33000000
"""Samakhusi, K""",3,9,13,39,S,22500000
"""Samakhusi, K""",4,6,13,52,W,27500000
"""Imadol, L""",4,6,13,52,SE,23800000
"""Swayambhu, K""",4,10,12,48,S,23000000
"""Nakhu, L""",1.1,4,16,17.6,SW,26500000
"""Budhanilkantha, K""",8.1,5,13,105.3,E,41000000
"""Budhanilkantha, K""",4.5,6,13,58.5,E,25500000
"""Pepsicola, K""",1.1,6,30,33,S,32000000
"""Gothatar, K""",2.2,8,13,28.6,W,14000000
"""Kadaghari, K""",3,5,12,36,E,17000000
"""Imadol, L""",3,2,13,39,NE,10000000
"""Imadol, L""",3.2,9,33,105.6,NW,30000000
"""Kadaghari, K""",5,11,15,75,W,22000000
"""Kadaghari, K""",2.2,7,13,28.6,N,13200000
"""Imadol, L""",3.2,5,13,41.6,N,19500000
"""Kapan, K""",4,11,13,52,E,26500000
"""Kapan, K""",4,11,13,52,N,25500000
"""Naikap, K""",6.3,5,15,94.5,S,29500000
"""Imadol, L""",2.2,4,13,28.6,S,15000000
"""Imadol, L""",3,4,10,30,SE,19000000
"""Imadol, L""",3.3,4,20,66,S,23500000
"""Imadol, L""",3,5,11,33,NW,18000000
"""Imadol, L""",3.1,3,13,40.3,S,18500000
"""Tokha, K""",4.2,7,10,42,SE,24500000
"""Sanepa, L""",3,2,13,39,W,4800000
"""Baghdol, L""",1,4,20,20,W,19500000
"""Nakhu, L""",4,4,16,64,E,26500000
"""Budhanilkantha, K""",3,2,12,36,W,15000000
"""Bazar, K""",3,3,20,60,E,40000000
"""Manamaiju, K""",2.2,4,10,22,E,13500000
"""Imadol, L""",3,3,14,42,N,11000000
"""Maharajgunj, K""",9,5,13,117,N,70000000
"""Bhangal, K""",3.5,5,14,49,E,17900000
"""Bhangal, K""",7,5,15,105,SW,34500000
"""Basundhara, K""",7,7,20,140,E,41000000
"""Koteshwor, K""",1.5,7,26,39,E,18500000
"""Hattigauda, K""",6,9,14,84,S,36500000
"""Bhangal, K""",3.5,5,13,45.5,W,21000000
"""Kapan, K""",3.5,2,12,42,N,7500000
"""Imadol, L""",3.3,2,13,42.9,E,13000000
"""Tokha, K""",3.1,5,12,37.2,S,17800000
"""Budhanilkantha, K""",3.5,5,12,42,NE,21800000
"""Basundhara, K""",3.1,4,15,46.5,S,23000000
"""Kadaghari, K""",4,5,12,48,W,29000000
"""Dhapasi, K""",1,3,20,20,N,70000000
"""Shantinagar, K""",6.2,6,10,62,N,42500000
"""Pasikot, K""",4,5,20,80,W,30000000
"""Jhamsikhel, L""",1.9,2,20,38,E,12000000
"""Kirtipur, K""",4.2,6,12,50.4,S,25000000
"""Gurjudhara, K""",4.1,6,11,45.1,SE,17000000
"""Sanepa, L""",4,4,13,52,N,30000000
"""Bhangal, K""",4,6,15,60,NW,24000000
"""Bhangal, K""",4,6,14,56,SE,24000000
"""Imadol, L""",3,5,13,39,E,21000000
"""Tokha, K""",4,5,26,104,S,27500000
"""Nepaltar, K""",4,11,13,52,N,24000000
"""Bhaisepati, L""",4.2,3,18,75.6,SW,28500000
"""Budhanilkantha, K""",10,4,15,150,E,62000000
"""Basundhara, K""",6,6,15,90,S,42500000
"""Hattigauda, K""",4,5,30,120,E,24500000
"""Basundhara, K""",8,6,15,120,SW,45000000
"""Baluwatar, K""",4,5,15,60,S,34000000
"""Jorpati, K""",7.89,4,12,94.68,E,21500000
"""Joranku, K""",3,5,8,24,W,15900000
"""Gurjudhara, K""",3.1,2,10,31,W,8500000
"""Budhanilkantha, K""",5,4,15,75,NE,30500000
"""Sukedhara, K""",3,6,14,42,N,21000000
"""Tikathali, L""",3.2,6,12,38.4,E,22500000
"""Budhanilkantha, K""",3.3,3,20,66,E,33000000
"""Sukedhara, K""",6,5,15,90,S,40000000
"""Kapan, K""",3,2,10,30,S,10600000
"""Bhaisepati, L""",5.5,4,15,82.5,E,19000000
"""Basundhara, K""",5,5,14,70,S,39000000
"""Budhanilkantha, K""",10,4,13,130,S,39000000
"""Banasthali, K""",10,4,12,120,S,70000000
"""Budhanilkantha, K""",8.31,5,12,99.72,E,35000000
"""Makalbari, K""",3.2,2,12,38.4,SW,10500000
"""Kapan, K""",3,3,10,30,N,12500000
"""Khumaltar, L""",4,6,14,56,S,19500000
"""Kalanki, K""",6.1,7,14,85.4,E,38000000
"""Sitapaila, K""",7,4,20,140,SE,29500000
"""Bouddha, K""",3.1,10,20,62,S,22000000
"""Dadhikot, B""",4,12,20,80,SE,22500000
"""Sitapaila, K""",3.5,3,13,45.5,S,18000000
"""Sukedhara, K""",6.3,9,12,75.6,E,34500000
"""Tokha, K""",3,2,13,39,N,11500000
"""Basundhara, K""",5,2,14,70,N,37500000
