Location,District,District_PriceCode,Area,Area_PriceCode,Land Area,Bedrooms,Road Access,Facing,Facing_PriceCode,Price
"'Imadol, L'",L,35415524.19,Imadol,35386263.73,5,2,26,E,41179677.42,72500000
"'Sukedhara, K'",K,42844536.71,Sukedhara,46750000,4,4,20,E,41179677.42,47500000
"'Gatthaghar, B'",B,30804807.69,Gatthaghar,28750000,3.2,8,14,E,41179677.42,32000000
"'Shantinagar, K'",K,42844536.71,Shantinagar,52500000,4,11,10,S,35650000,42500000
"'Shantinagar, K'",K,42844536.71,Shantinagar,52500000,5,20,20,E,41179677.42,55000000
"'Imadol, L'",L,35415524.19,Imadol,35386263.73,3.3,8,13,NE,39629508.2,36500000
"'Imadol, L'",L,35415524.19,Imadol,35386263.73,4,7,13,W,36390395.48,21500000
"'Baniyatar, K'",K,42844536.71,Baniyatar,33571428.57,4.1,9,13,E,41179677.42,38000000
"'Baniyatar, K'",K,42844536.71,Baniyatar,33571428.57,4,7,13,W,36390395.48,30000000
"'Pahelopul, K'",K,42844536.71,Pahelopul,38500000,4,13,20,S,35650000,38500000
"'Kalanki, K'",K,42844536.71,Kalanki,43250000,6,10,13,S,35650000,42500000
"'Kapan, K'",K,42844536.71,Kapan,31736111.11,5,6,13,SE,41607843.14,38000000
"'Manohara, B'",B,30804807.69,Manohara,42000000,4.3,4,20,E,41179677.42,42000000
"'Sitapaila, K'",K,42844536.71,Sitapaila,33166666.67,4,3,16,S,35650000,45000000
"'Satdobato, L'",L,35415524.19,Satdobato,62916666.67,8,10,13,SE,41607843.14,110000000
"'Shantinagar, K'",K,42844536.71,Shantinagar,52500000,6,28,20,E,41179677.42,65000000
"'Chabahil, K'",K,42844536.71,Chabahil,91250000,5,19,24,E,41179677.42,60000000
"'Sukedhara, K'",K,42844536.71,Sukedhara,46750000,5.48,6,12,N,38826844.25,42500000
"'Kuleshwor, K'",K,42844536.71,Kuleshwor,73333333.33,8.5,7,16,W,36390395.48,80000000
"'Sitapaila, K'",K,42844536.71,Sitapaila,33166666.67,3,5,13,E,41179677.42,28000000
"'Sitapaila, K'",K,42844536.71,Sitapaila,33166666.67,3.5,6,13,E,41179677.42,25000000
"'Kalanki, K'",K,42844536.71,Kalanki,43250000,3,5,13,E,41179677.42,28000000
"'Swayambhu, K'",K,42844536.71,Swayambhu,48000000,5.25,13,13,N,38826844.25,80000000
"'Kalanki, K'",K,42844536.71,Kalanki,43250000,10,7,13,E,41179677.42,60000000
"'Bhaisepati, L'",L,35415524.19,Bhaisepati,48360000,4.43,4,20,SE,41607843.14,41500000
"'Dhapasi, K'",K,42844536.71,Dhapasi,53750000,8,5,13,E,41179677.42,75500000
"'Sunakothi, L'",L,35415524.19,Sunakothi,38666666.67,3.75,5,13,NE,39629508.2,37500000
"'Sunakothi, L'",L,35415524.19,Sunakothi,38666666.67,3.12,4,13,SE,41607843.14,31500000
"'Mulpani, K'",K,42844536.71,Mulpani,32722222.22,3,7,13,SE,41607843.14,23500000
"'Kapan, K'",K,42844536.71,Kapan,31736111.11,4,6,14,SE,41607843.14,37500000
"'Tikathali, L'",L,35415524.19,Tikathali,28933333.33,3.25,5,13,N,38826844.25,33500000
"'Bhangal, K'",K,42844536.71,Bhangal,36653846.15,4.06,6,13,NE,39629508.2,34500000
"'Naxal, K'",K,42844536.71,Naxal,73500000,7.75,10,21,SW,40332835.82,58000000
"'Tahachal, K'",K,42844536.71,Tahachal,35500000,2.75,3,11,E,41179677.42,21000000
"'Budhanilkantha, K'",K,42844536.71,Budhanilkantha,53966666.67,4,6,13,SW,40332835.82,29500000
"'Dallu, K'",K,42844536.71,Dallu,40460000,6,17,14,N,38826844.25,45000000
"'Naikap, K'",K,42844536.71,Naikap,23666666.67,3,7,13,E,41179677.42,23000000
"'Baluwatar, K'",K,42844536.71,Baluwatar,67000000,7.75,10,20,S,35650000,11000000
"'Tikathali, L'",L,35415524.19,Tikathali,28933333.33,3.37,6,14,W,36390395.48,27500000
"'Golfutar, K'",K,42844536.71,Golfutar,45250000,4.5,8,13,SE,41607843.14,35000000
"'Imadol, L'",L,35415524.19,Imadol,35386263.73,2.5,5,13,W,36390395.48,21000000
"'Battisputali, K'",K,42844536.71,Battisputali,50333333.33,4.75,12,19,E,41179677.42,69000000
"'Tikathali, L'",L,35415524.19,Tikathali,28933333.33,4,6,13,NE,39629508.2,42500000
"'Tikathali, L'",L,35415524.19,Tikathali,28933333.33,4,6,13,SE,41607843.14,45000000
"'Budhanilkantha, K'",K,42844536.71,Budhanilkantha,53966666.67,9.5,6,13,NE,39629508.2,107500000
"'Newroad, K'",K,42844536.71,Newroad,35000000,1,9,12,N,38826844.25,35000000
"'Dhumbarahi, K'",K,42844536.71,Dhumbarahi,37685714.29,3.5,6,11,S,35650000,25000000
"'Guheshwori, K'",K,42844536.71,Guheshwori,27666666.67,4,4,12,SW,40332835.82,30000000
"'Mahankal, K'",K,42844536.71,Mahankal,40250000,3.5,9,15,NE,39629508.2,33000000
"'Tokha, K'",K,42844536.71,Tokha,32214285.71,3.37,6,13,E,41179677.42,28500000
"'Jorpati, K'",K,42844536.71,Jorpati,27136363.64,3,3,13,W,36390395.48,29000000
"'Mulpani, K'",K,42844536.71,Mulpani,32722222.22,5,4,20,NW,33140350.88,50000000
"'Bafal, K'",K,42844536.71,Bafal,66250000,9,11,13,N,38826844.25,100000000
"'Ravi Bhawan, K'",K,42844536.71,Ravi Bhawan,36000000,3.75,6,4,SE,41607843.14,22000000
"'Syuchatar, K'",K,42844536.71,Syuchatar,29785714.29,4,6,10,NE,39629508.2,27500000
"'Old Baneshwor, K'",K,42844536.71,Old Baneshwor,71666666.67,7.75,14,26,E,41179677.42,110000000
"'Tokha, K'",K,42844536.71,Tokha,32214285.71,6,5,26,E,41179677.42,52500000
"'Tokha, K'",K,42844536.71,Tokha,32214285.71,3,5,10,NE,39629508.2,27000000
"'Imadol, L'",L,35415524.19,Imadol,35386263.73,4.5,6,13,NE,39629508.2,47500000
"'Imadol, L'",L,35415524.19,Imadol,35386263.73,3,6,13,NW,33140350.88,27500000
"'Imadol, L'",L,35415524.19,Imadol,35386263.73,3.75,7,13,NE,39629508.2,29500000
"'New Baneshwor, K'",K,42844536.71,New Baneshwor,65750000,3.5,6,10,E,41179677.42,36000000
"'Maharajgunj, K'",K,42844536.71,Maharajgunj,85428571.43,11,6,12,W,36390395.48,115000000
"'Sipadol, B'",B,30804807.69,Sipadol,16500000,3,5,13,S,35650000,16500000
"'Hadigaun, K'",K,42844536.71,Hadigaun,11000000,14,11,24,W,36390395.48,11000000
"'Gyaneshwor, K'",K,42844536.71,Gyaneshwor,87333333.33,10,5,16,S,35650000,140000000
"'Mandikatar, K'",K,42844536.71,Mandikatar,33409090.91,3,5,13,SE,41607843.14,26000000
"'Tikathali, L'",L,35415524.19,Tikathali,28933333.33,3.75,6,13,S,35650000,31000000
"'Tokha, K'",K,42844536.71,Tokha,32214285.71,3.5,6,10,SE,41607843.14,25000000
"'Lubhu, L'",L,35415524.19,Lubhu,21756521.74,2.75,4,10,W,36390395.48,18000000
"'Changathali, L'",L,35415524.19,Changathali,28000000,5.5,7,13,NE,39629508.2,28000000
"'Sudal, B'",B,30804807.69,Sudal,16250000,4,2,13,S,35650000,13500000
"'Chabahil, K'",K,42844536.71,Chabahil,91250000,15,10,14,E,41179677.42,140000000
"'Boudha, K'",K,42844536.71,Boudha,37375000,6,7,14,E,41179677.42,50000000
"'Kapan, K'",K,42844536.71,Kapan,31736111.11,3,3,13,S,35650000,16500000
"'Tokha, K'",K,42844536.71,Tokha,32214285.71,3.62,5,10,S,35650000,48000000
"'Imadol, L'",L,35415524.19,Imadol,35386263.73,3,5,16,W,36390395.48,27000000
"'Tikathali, L'",L,35415524.19,Tikathali,28933333.33,3.75,2,13,NE,39629508.2,18500000
"'Tikathali, L'",L,35415524.19,Tikathali,28933333.33,9.25,6,16,W,36390395.48,97500000
"'Chandol, K'",K,42844536.71,Chandol,64250000,6.5,4,12,W,36390395.48,82500000
"'Tikathali, L'",L,35415524.19,Tikathali,28933333.33,3.5,7,13,SW,40332835.82,28000000
"'Bhangal, K'",K,42844536.71,Bhangal,36653846.15,3.45,9,20,W,36390395.48,21000000
"'Lubhu, L'",L,35415524.19,Lubhu,21756521.74,2.75,3,13,S,35650000,12000000
"'Lubhu, L'",L,35415524.19,Lubhu,21756521.74,2.91,6,13,S,35650000,20000000
"'Balkot, B'",B,30804807.69,Balkot,39574074.07,11.5,7,24,NE,39629508.2,85000000
"'Makalbari, K'",K,42844536.71,Makalbari,31250000,3.5,4,16,NE,39629508.2,27500000
"'Tikathali, L'",L,35415524.19,Tikathali,28933333.33,3,8,13,S,35650000,31000000
"'Samakhusi, K'",K,42844536.71,Samakhusi,50220000,9.5,7,14,E,41179677.42,74500000
"'Machapokhari, K'",K,42844536.71,Machapokhari,27000000,3.5,11,10,S,35650000,27000000
"'Tikathali, L'",L,35415524.19,Tikathali,28933333.33,3.25,5,13,S,35650000,33500000
"'Budhanilkantha, K'",K,42844536.71,Budhanilkantha,53966666.67,3,2,13,SW,40332835.82,17500000
"'Budhanilkantha, K'",K,42844536.71,Budhanilkantha,53966666.67,32,4,13,E,41179677.42,225000000
"'Bhaisepati, L'",L,35415524.19,Bhaisepati,48360000,2.5,3,13,W,36390395.48,25000000
"'Bhaisepati, L'",L,35415524.19,Bhaisepati,48360000,3.5,3,13,W,36390395.48,25000000
"'Bode, B'",B,30804807.69,Bode,17750000,4,4,13,S,35650000,16500000
"'Lubhu, L'",L,35415524.19,Lubhu,21756521.74,3.75,4,13,SE,41607843.14,29900000
"'Budhanilkantha, K'",K,42844536.71,Budhanilkantha,53966666.67,6,6,14,E,41179677.42,57500000
"'Tokha, K'",K,42844536.71,Tokha,32214285.71,3,5,13,W,36390395.48,31500000
"'Old Baneshwor, K'",K,42844536.71,Old Baneshwor,71666666.67,2.75,8,20,W,36390395.48,35000000
"'Golfutar, K'",K,42844536.71,Golfutar,45250000,8.5,8,13,SW,40332835.82,59500000
"'Sanothimi, B'",B,30804807.69,Sanothimi,36733333.33,5,6,13,S,35650000,39900000
"'Tikathali, L'",L,35415524.19,Tikathali,28933333.33,2.75,7,13,NE,39629508.2,21500000
"'Balkhu, K'",K,42844536.71,Balkhu,62191666.67,13.93,4,100,N,38826844.25,139075000
"'Basantapur, K'",K,42844536.71,Basantapur,35000000,1.87,3,15,N,38826844.25,35000000
"'Sukedhara, K'",K,42844536.71,Sukedhara,46750000,2.68,13,32,E,41179677.42,63000000
"'Dhumbarahi, K'",K,42844536.71,Dhumbarahi,37685714.29,4,12,13,N,38826844.25,47800000
"'Sukedhara, K'",K,42844536.71,Sukedhara,46750000,5,5,18,SW,40332835.82,55000000
